name,lastAccessTime,recommendation
aoejmlsa,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
stgacctjmlaoetest,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
ssawafjml001,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
finopshubfjeq2enxw6anc,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
stolzjtstuks001cmaa,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
hacktest07,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
stgarchivecostdata,No Access in last 30 days,Consider downgrading or deleting this storage account to save costs.
