Resource Type,Resource Name,Resource Group,Subscription ID,Metric,Average Value,Recommendation
microsoft.storage/storageaccounts,aoejmlsa,aoejml-rg,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,TotalRequests,0,Review usage and optimize accordingly
microsoft.storage/storageaccounts,finopshubfjeq2enxw6anc,rg-finopshubs-0.5,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,TotalRequests,0,Review usage and optimize accordingly
microsoft.storage/storageaccounts,hacktest07,rg-mgmt,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,TotalRequests,0,Review usage and optimize accordingly
microsoft.compute/virtualmachines,myVM0,aoetestresources,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Percentage CPU,0,Review usage and optimize accordingly
microsoft.compute/virtualmachines,myVM1,aoetestresources,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Percentage CPU,0,Review usage and optimize accordingly
